Cited Items;Norma1
abeille;abeille
acarien;acarien
anophele_aegyptis;anophele_aegyptis
aoutat;aoutat
araignee;araignee
araignee_d'eau;araignee_d'eau
araignee_d<U+0092>eau;araignee_d'eau
araignee_loup;araignee_loup
asticot;asticot
bete_dorage;bete_dorage
blatte;blatte
bourdon;bourdon
bousier;bousier
cafard;cafard
capricorne;capricorne
carabe;carabe
charançon;charançon
chenille;chenille
cigale;cigale
cloporte;cloporte
coccinelle;coccinelle
coleoptere;coleoptere
cousin;cousin
criquet;criquet
doryphore;doryphore
drosophile;drosophile
dytique;dytique
ephemere;ephemere
escargot;escargot
faucheuse;faucheuse
fourmi;fourmi
fourmi_noire;fourmi_noire
fourmi_rouge;fourmi_rouge
fourmi_volante;fourmi_volante
frelon;frelon
frelon_asiatique;frelon_asiatique
gendarme;gendarme
grillon;grillon
guepe;guepe
hanneton;hanneton
larve;larve
lezard;lezard
libellule;libellule
limace;limace
lucane_cerf_volant;lucane_cerf_volant
luciole;luciole
macrodontia_cerviconis;macrodontia_cerviconis
mante_religieuse;mante_religieuse
mille_pattes;mille_pattes
mite;mite
morpion;morpion
mouche;mouche
mouche_a_caca;mouche_a_caca
mouche_bleue;mouche_bleue
mouche_plate;mouche_plate
mouche_tse_tse;mouche_tse_tse
moucheron;moucheron
moustique;moustique
moustique_du_chikungunya;moustique_du_chikungunya
moustique_tigre;moustique_tigre
mygale;mygale
oiseau_mouche;oiseau_mouche
papillon;papillon
papillon_de_nuit;papillon_de_nuit
phalene;phalene
phasme;phasme
pince_oreilles;pince_oreilles
poisson_d'argent;poisson_d'argent
pompile;pompile
pou;pou
puce;puce
puce_de_sable;puce_de_sable
puceron;puceron
punaise;punaise
punaise_de_lit;punaise_de_lit
sangsue;sangsue
sauterelle;sauterelle
scarabee;scarabee
scolopendre;scolopendre
scorpion;scorpion
sphinx;sphinx
taon;taon
tarentule;tarentule
termite;termite
tique;tique
trypanosome;trypanosome
ver;ver
ver_de_terre;ver_de_terre
vermisseau;vermisseau
vers_a_soie;vers_a_soie
vers_de_farine;vers_de_farine
vers_luisant;vers_luisant
veuve_noire;veuve_noire
