ID_Resp;Sexe
Resp_2012_001;M
Resp_2012_002;M
Resp_2012_003;M
Resp_2012_004;F
Resp_2012_005;F
Resp_2012_006;F
Resp_2012_007;F
Resp_2012_008;F
Resp_2012_009;M
Resp_2012_010;F
Resp_2012_011;F
Resp_2012_012;F
Resp_2012_013;F
Resp_2012_014;F
Resp_2012_015;M
Resp_2012_016;M
Resp_2012_017;M
Resp_2012_018;F
Resp_2012_019;F
Resp_2012_020;F
Resp_2012_021;F
Resp_2012_022;F
Resp_2012_023;F
Resp_2012_024;F
Resp_2012_025;M
Resp_2012_026;F
Resp_2012_027;M
Resp_2012_028;F
Resp_2012_029;F
Resp_2012_030;F
Resp_2012_031;F
Resp_2012_032;M
Resp_2012_033;F
Resp_2012_034;F
Resp_2012_035;M
Resp_2012_036;F
Resp_2012_037;F
Resp_2012_038;F
Resp_2012_039;F
Resp_2012_040;M
Resp_2012_041;F
Resp_2012_042;M
Resp_2012_043;F
Resp_2012_044;M
Resp_2012_045;M
Resp_2012_046;F
Resp_2012_047;F
Resp_2012_048;F
Resp_2012_049;F
Resp_2012_050;F
Resp_2012_051;M
Resp_2012_052;M
Resp_2012_053;M
Resp_2012_054;F
Resp_2012_055;F
Resp_2012_056;F
Resp_2012_057;F
Resp_2012_058;M
Resp_2012_059;M
Resp_2012_060;M
Resp_2012_061;F
Resp_2012_062;F
Resp_2012_063;F
Resp_2012_064;M
Resp_2012_065;F
Resp_2012_066;M
Resp_2012_067;F
Resp_2012_068;M
Resp_2012_069;F
Resp_2012_070;F
Resp_2012_071;M
Resp_2012_072;F
Resp_2012_073;M
Resp_2012_074;F
Resp_2012_075;M
Resp_2012_076;M
Resp_2012_077;M
Resp_2012_078;F
Resp_2012_079;M
Resp_2012_080;F
Resp_2012_081;F
Resp_2012_082;F
Resp_2012_083;F
Resp_2012_084;F
Resp_2012_085;F
Resp_2012_086;F
Resp_2012_087;F
Resp_2012_088;M
Resp_2012_089;M
Resp_2012_090;M
Resp_2012_091;F
Resp_2012_092;M
Resp_2012_093;M
Resp_2012_094;F
Resp_2012_095;F
Resp_2012_096;M
Resp_2012_097;M
Resp_2012_098;M
Resp_2012_099;F
Resp_2012_100;F
Resp_2012_101;F
Resp_2012_102;F
Resp_2012_103;M
Resp_2012_104;M
Resp_2012_105;F
Resp_2012_106;M
Resp_2012_107;F
Resp_2012_108;M
Resp_2012_109;M
Resp_2012_110;M
Resp_2012_111;M
Resp_2012_112;M
Resp_2012_113;M
Resp_2012_114;M
Resp_2012_115;M
Resp_2012_116;M
Resp_2017_001;F
Resp_2017_002;F
Resp_2017_003;F
Resp_2017_004;F
Resp_2017_005;F
Resp_2017_006;F
Resp_2017_007;M
Resp_2017_008;M
Resp_2017_009;F
Resp_2017_010;F
Resp_2017_011;M
Resp_2017_012;F
Resp_2017_013;F
Resp_2017_014;M
Resp_2017_015;F
Resp_2017_016;F
Resp_2017_017;F
Resp_2017_018;F
Resp_2017_019;M
Resp_2017_020;F
Resp_2017_021;M
Resp_2017_022;F
Resp_2017_023;F
Resp_2017_024;F
Resp_2017_025;M
Resp_2017_026;M
Resp_2017_027;F
Resp_2017_028;F
Resp_2017_029;F
Resp_2017_030;F
Resp_2017_031;F
Resp_2017_032;F
Resp_2017_033;F
Resp_2017_034;F
Resp_2017_035;F
Resp_2017_036;NA
Resp_2017_037;M
Resp_2017_038;NA
Resp_2017_039;M
Resp_2017_040;NA
